k4mobility@vmhost-1:~/ops/scanvoe$ python3 table.py
           Date      Time                DID                       DP                    SiteName                                           Event
296  2024-08-05  03:30:26  ES1K36AABAA001459         Crowley Shipping                      Regula  IP changed from 38.101.194.20 to 38.101.194.21
75   2024-08-01  07:30:17  ES1K32AABAA001037               Radical IT                     Rochade  IP changed from 38.101.194.20 to 38.101.194.22
249  2024-08-03  22:30:19  ES1K37AABAA001614    Marine Data Solutions                  Rosehearty                           Added to 188.65.37.66
180  2024-08-03  14:32:35  ES1K37AABAA001614    Marine Data Solutions                  Rosehearty                       Dropped from 188.65.37.66
42   2024-07-31  14:30:17  ES1K37AABAA001572     Elite Communications   SD006 WFO EI259C Starlink                          Added to 38.101.194.22
88   2024-08-01  22:30:10  ES1K2BAAAAA000164  BlueTide Communications     SEABULK-Galveston-ES164                          Added to 38.101.194.21
115  2024-08-03  03:30:10  ES1K34AABAA001179  BlueTide Communications     SEABULK-GreenBay-ES1179                          Added to 38.101.194.21
274  2024-08-04  07:30:10  ES1K28AAAAA000112  BlueTide Communications         SEABULK-Mayan-ES112                      Dropped from 164.52.154.20
279  2024-08-04  14:30:18  ES1K28AAAAA000112  BlueTide Communications         SEABULK-Mayan-ES112                          Added to 164.52.154.20
85   2024-08-01  22:30:10  ES1K28AAAAA000112  BlueTide Communications         SEABULK-Mayan-ES112                          Added to 164.52.154.20
39   2024-07-31  14:30:17  ES1K28AAAAA000077  BlueTide Communications          SEABULK-Pride-ES77                          Added to 38.101.194.21
93   2024-08-02  03:30:18  ES1K2BAAAAA000165  BlueTide Communications       SEABULK-Thunder-ES165  IP changed from 38.101.194.22 to 38.101.194.20
11   2024-07-31  05:25:30  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.22 to 38.101.194.21
23   2024-07-31  07:30:16  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.21 to 38.101.194.22
22   2024-07-31  07:30:16  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.22 to 38.101.194.21
74   2024-08-01  07:30:17  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.21 to 38.101.194.22
64   2024-08-01  03:30:17  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.22 to 38.101.194.21
4    2024-07-31  05:19:53  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.21 to 38.101.194.22
2    2024-07-31  05:19:53  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.22 to 38.101.194.21
52   2024-07-31  22:30:16  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.22 to 38.101.194.21
13   2024-07-31  05:25:30  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.21 to 38.101.194.22
41   2024-07-31  14:30:17  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.21 to 38.101.194.22
38   2024-07-31  14:30:17  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.22 to 38.101.194.21
54   2024-07-31  22:30:16  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.21 to 38.101.194.22
65   2024-08-01  03:30:17  ES1K2AAAAAA000149  BlueTide Communications  SEABULK-WestVirginia-ES149  IP changed from 38.101.194.21 to 38.101.194.22
90   2024-08-01  22:30:10  EF1K3AABBAA000194  BlueTide Communications          SERPORT-EL84-EF194                      Dropped from 38.101.194.20
80   2024-08-01  14:30:16  EF1K3AABBAA000194  BlueTide Communications          SERPORT-EL84-EF194                          Added to 38.101.194.20
56   2024-07-31  22:30:16  EF1K3AABBAA000194          Clarus Networks          SERPORT-EL84-EF194                      Dropped from 38.101.194.21
37   2024-07-31  14:30:17  EF1K3AABBAA000194  BlueTide Communications          SERPORT-EL84-EF194                          Added to 38.101.194.21
132  2024-08-03  14:32:35  EF1K3AABBAA000176  BlueTide Communications     SERPORT-Esparanza-EF176                      Dropped from 38.101.194.21
70   2024-08-01  07:30:17  EF1K3AABBAA000176  BlueTide Communications     SERPORT-Esparanza-EF176                          Added to 38.101.194.20
33   2024-07-31  14:30:17  EF1K3AABBAA000176  BlueTide Communications     SERPORT-Esparanza-EF176                          Added to 38.101.194.20
121  2024-08-03  07:30:14  EF1K3AABBAA000176  BlueTide Communications     SERPORT-Esparanza-EF176                          Added to 38.101.194.21
99   2024-08-02  14:30:32  EF1K3AABBAA000176  BlueTide Communications     SERPORT-Esparanza-EF176                          Added to 38.101.194.21
55   2024-07-31  22:30:16  EF1K3AABBAA000176          Clarus Networks     SERPORT-Esparanza-EF176                      Dropped from 38.101.194.20
89   2024-08-01  22:30:10  EF1K3AABBAA000176  BlueTide Communications     SERPORT-Esparanza-EF176                      Dropped from 38.101.194.20
110  2024-08-02  22:30:11  EF1K3AABBAA000176  BlueTide Communications     SERPORT-Esparanza-EF176                      Dropped from 38.101.194.21
106  2024-08-02  14:30:32  EF1K42ABBAA000258                      KVH           SLS Demo training                      Dropped from 38.101.194.21
98   2024-08-02  14:30:32  ES1K38AABAA001748                      KVH                  STS.BOFFA2                          Added to 38.101.194.20
123  2024-08-03  07:30:14  ES1K38AABAA001748                      KVH                  STS.BOFFA2                      Dropped from 38.101.194.20
270  2024-08-04  03:30:16  ES1K38AABAA001748                      KVH                  STS.BOFFA2                          Added to 38.101.194.20
293  2024-08-05  03:30:26  ES1K36AABAA001446                      KVH                     STS.FC2  IP changed from 38.101.194.21 to 38.101.194.20
60   2024-08-01  03:30:17  ES1K37AABAA001648                      KVH                     STS.FC3                          Added to 38.101.194.20
107  2024-08-02  22:30:11  ES1K37AABAA001659                      KVH                       Saron  IP changed from 38.101.194.22 to 38.101.194.20
59   2024-08-01  03:30:17  ES1K41AABAA002051                      KVH              Saronic Spirit                          Added to 164.52.154.20
118  2024-08-03  07:30:14  EF1K39AABAA000129                  Satlink                  Sea Breeze  IP changed from 38.101.194.21 to 38.101.194.20
108  2024-08-02  22:30:11  EF1K39AABAA000129                  Satlink                  Sea Breeze                          Added to 38.101.194.21
103  2024-08-02  14:30:32  EF1K39AABAA000129                  Satlink                  Sea Breeze                      Dropped from 38.101.194.20
53   2024-07-31  22:30:16  ES1K45ADBAA002797                      KVH                Sharp Island                          Added to 38.101.194.21
27   2024-07-31  07:30:16  ES1K45ADBAA002797          Clarus Networks                Sharp Island                      Dropped from 38.101.194.21
76   2024-08-01  07:30:17  EF1K43ABBAA000312                      KVH             Soho Maru No 17                      Dropped from 164.52.154.20
57   2024-08-01  03:30:17  EF1K43ABBAA000312                      KVH             Soho Maru No 17                          Added to 164.52.154.20
292  2024-08-05  03:30:26  EF1K43ABBAA000312                      KVH             Soho Maru No 17                          Added to 164.52.154.21
15   2024-07-31  05:25:30  ES1K25AAAAA000002          Clarus Networks              Starlink Setup                      Dropped from 164.52.154.20
6    2024-07-31  05:19:53  ES1K25AAAAA000002          Clarus Networks              Starlink Setup                      Dropped from 164.52.154.20
8    2024-07-31  05:19:53  ES1K42AABAA002252          Clarus Networks               Sulmara Trial                       Dropped from 188.65.37.66
17   2024-07-31  05:25:30  ES1K42AABAA002252          Clarus Networks               Sulmara Trial                       Dropped from 188.65.37.66
186  2024-08-03  14:32:35  ES1K3BAABAA001898          Clarus Networks                       Svend                       Dropped from 188.65.37.66
255  2024-08-03  22:30:19  ES1K3BAABAA001898          Clarus Networks                       Svend                           Added to 188.65.37.66
189  2024-08-03  14:32:35  ES1K38AABAA001754                      KVH                       Tania                       Dropped from 188.65.37.66
258  2024-08-03  22:30:19  ES1K38AABAA001754                      KVH                       Tania                           Added to 188.65.37.66
288  2024-08-04  22:30:12  ES1K35AABAA001302    Marine Data Solutions                 Tasty Waves                          Added to 38.101.194.20
285  2024-08-04  14:30:18  ES1K35AABAA001302    Marine Data Solutions                 Tasty Waves                      Dropped from 38.101.194.20
184  2024-08-03  14:32:35  ES1K36AABAA001404       Charity and Taylor             Viking Sentinel                       Dropped from 188.65.37.66
253  2024-08-03  22:30:19  ES1K36AABAA001404       Charity and Taylor             Viking Sentinel                           Added to 188.65.37.66
44   2024-07-31  14:30:17  ES1K36AABAA001404       Charity and Taylor             Viking Sentinel                           Added to 188.65.37.66
281  2024-08-04  14:30:18  ES1K43ACBAA002352                      KVH                    West Bay                          Added to 38.101.194.20
k4mobility@vmhost-1:~/ops/scanvoe$
